Name,HONG KONG PRIME - MIDDLE RATE
1/01/1990,10
1/02/1990,10
1/03/1990,10
1/04/1990,11
1/05/1990,11
1/06/1990,11
1/07/1990,11
1/08/1990,11
1/09/1990,10.5
1/10/1990,10.5
1/11/1990,10
1/12/1990,10
1/01/1991,10
1/02/1991,9.5
1/03/1991,9.5
1/04/1991,9.5
1/05/1991,9.5
1/06/1991,10.5
1/07/1991,9.5
1/08/1991,9.5
1/09/1991,9.5
1/10/1991,9
1/11/1991,9
1/12/1991,8.5
1/01/1992,8.5
1/02/1992,8.5
1/03/1992,8.5
1/04/1992,8.5
1/05/1992,8
1/06/1992,7
1/07/1992,7
1/08/1992,6.5
1/09/1992,6.5
1/10/1992,6.5
1/11/1992,6.5
1/12/1992,6.5
1/01/1993,6.5
1/02/1993,6.5
1/03/1993,6.5
1/04/1993,6.5
1/05/1993,6.5
1/06/1993,6.5
1/07/1993,6.5
1/08/1993,6.5
1/09/1993,6.5
1/10/1993,6.5
1/11/1993,6.5
1/12/1993,6.5
1/01/1994,6.5
1/02/1994,6.5
1/03/1994,6.5
1/04/1994,6.75
1/05/1994,6.75
1/06/1994,7.25
1/07/1994,7.25
1/08/1994,7.25
1/09/1994,7.75
1/10/1994,7.75
1/11/1994,7.75
1/12/1994,8.5
1/01/1995,8.5
1/02/1995,8.5
1/03/1995,9
1/04/1995,9
1/05/1995,9
1/06/1995,9
1/07/1995,9
1/08/1995,9
1/09/1995,9
1/10/1995,9
1/11/1995,9
1/12/1995,9
1/01/1996,8.75
1/02/1996,8.75
1/03/1996,8.5
1/04/1996,8.5
1/05/1996,8.5
1/06/1996,8.5
1/07/1996,8.5
1/08/1996,8.5
1/09/1996,8.5
1/10/1996,8.5
1/11/1996,8.5
1/12/1996,8.5
1/01/1997,8.5
1/02/1997,8.5
1/03/1997,8.5
1/04/1997,8.75
1/05/1997,8.75
1/06/1997,8.75
1/07/1997,8.75
1/08/1997,8.75
1/09/1997,8.75
1/10/1997,8.75
1/11/1997,9.5
1/12/1997,9.5
1/01/1998,9.5
1/02/1998,10.25
1/03/1998,10.25
1/04/1998,10
1/05/1998,10
1/06/1998,10
1/07/1998,10
1/08/1998,10
1/09/1998,10
1/10/1998,10
1/11/1998,9.75
1/12/1998,9.5
1/01/1999,9
1/02/1999,8.75
1/03/1999,8.75
1/04/1999,8.75
1/05/1999,8.25
1/06/1999,8.25
1/07/1999,8.25
1/08/1999,8.25
1/09/1999,8.5
1/10/1999,8.5
1/11/1999,8.5
1/12/1999,8.5
1/01/2000,8.5
1/02/2000,8.5
1/03/2000,8.75
1/04/2000,9
1/05/2000,9
1/06/2000,9.5
1/07/2000,9.5
1/08/2000,9.5
1/09/2000,9.5
1/10/2000,9.5
1/11/2000,9.5
1/12/2000,9.5
1/01/2001,9.5
1/02/2001,9
1/03/2001,8.5
1/04/2001,8
1/05/2001,7.5
1/06/2001,7
1/07/2001,7
1/08/2001,6.75
1/09/2001,6.5
1/10/2001,6
1/11/2001,5.5
1/12/2001,5.25
1/01/2002,5.125
1/02/2002,5.125
1/03/2002,5.125
1/04/2002,5.125
1/05/2002,5.125
1/06/2002,5.125
1/07/2002,5.125
1/08/2002,5.125
1/09/2002,5.125
1/10/2002,5.125
1/11/2002,5.125
1/12/2002,5
1/01/2003,5
1/02/2003,5
1/03/2003,5
1/04/2003,5
1/05/2003,5
1/06/2003,5
1/07/2003,5
1/08/2003,5
1/09/2003,5
1/10/2003,5
1/11/2003,5
1/12/2003,5
1/01/2004,5
1/02/2004,5
1/03/2004,5
1/04/2004,5
1/05/2004,5
1/06/2004,5
1/07/2004,5
1/08/2004,5
1/09/2004,5
1/10/2004,5.125
1/11/2004,5.125
1/12/2004,5
1/01/2005,5
1/02/2005,5
1/03/2005,5
1/04/2005,5.25
1/05/2005,5.25
1/06/2005,5.75
1/07/2005,5.75
1/08/2005,6.5
1/09/2005,6.75
1/10/2005,7
1/11/2005,7
1/12/2005,7.5
1/01/2006,7.75
1/02/2006,7.75
1/03/2006,7.75
1/04/2006,8
1/05/2006,8
1/06/2006,8
1/07/2006,8
1/08/2006,8
1/09/2006,8
1/10/2006,8
1/11/2006,8
1/12/2006,7.75
1/01/2007,7.75
1/02/2007,7.75
1/03/2007,7.75
1/04/2007,7.75
1/05/2007,7.75
1/06/2007,7.75
1/07/2007,7.75
1/08/2007,7.75
1/09/2007,7.75
1/10/2007,7.5
1/11/2007,7.5
1/12/2007,7
1/01/2008,6.75
1/02/2008,5.75
1/03/2008,5.75
1/04/2008,5.25
1/05/2008,5.25
1/06/2008,5.25
1/07/2008,5.25
1/08/2008,5.25
1/09/2008,5.25
1/10/2008,5.25
1/11/2008,5.25
1/12/2008,5
1/01/2009,5
1/02/2009,5
1/03/2009,5
1/04/2009,5
1/05/2009,5
1/06/2009,5
1/07/2009,5
1/08/2009,5
1/09/2009,5
1/10/2009,5
1/11/2009,5
1/12/2009,5
1/01/2010,5
1/02/2010,5
1/03/2010,5
1/04/2010,5
1/05/2010,5
1/06/2010,5
1/07/2010,5
1/08/2010,5
1/09/2010,5
1/10/2010,5
1/11/2010,5
1/12/2010,5
1/01/2011,5
1/02/2011,5
1/03/2011,5
1/04/2011,5
1/05/2011,5
1/06/2011,5
1/07/2011,5
1/08/2011,5
1/09/2011,5
1/10/2011,5
1/11/2011,5
1/12/2011,5
1/01/2012,5
1/02/2012,5
1/03/2012,5
1/04/2012,5
1/05/2012,5
1/06/2012,5
1/07/2012,5
1/08/2012,5
1/09/2012,5
1/10/2012,5
1/11/2012,5
1/12/2012,5
1/01/2013,5
1/02/2013,5
1/03/2013,5
1/04/2013,5
1/05/2013,5
1/06/2013,5
1/07/2013,5
1/08/2013,5
1/09/2013,5
1/10/2013,5
1/11/2013,5
1/12/2013,5
1/01/2014,5
1/02/2014,5
1/03/2014,5
1/04/2014,5
1/05/2014,5
1/06/2014,5
1/07/2014,5
1/08/2014,5
1/09/2014,5
1/10/2014,5
1/11/2014,5
1/12/2014,5
1/01/2015,5
1/02/2015,5
1/03/2015,5
1/04/2015,5
1/05/2015,5
1/06/2015,5
1/07/2015,5
1/08/2015,5
1/09/2015,5
1/10/2015,5
1/11/2015,5
1/12/2015,5
1/01/2016,5
1/02/2016,5
1/03/2016,5
1/04/2016,5
1/05/2016,5
1/06/2016,5
1/07/2016,5
1/08/2016,5
1/09/2016,5
1/10/2016,5
1/11/2016,5
1/12/2016,5
1/01/2017,5
1/02/2017,5
1/03/2017,5
1/04/2017,5
1/05/2017,5
1/06/2017,5
1/07/2017,5
1/08/2017,5
1/09/2017,5
1/10/2017,5
